source_id,exercise_name,code,aliases,type,movement_pattern,primary_quality,secondary_qualities,training_role,primary_muscles,secondary_muscles,equipment,environments,minimum_level,technical_cost,impact_cost,fatigue_cost,supervision_required,dose_units,instructions,coaching_cues,common_mistakes,safety_stop_conditions,progressions,regressions,substitutions,catalogue_scope,generator_eligible,approval_status,approved_by,approval_scope
REV-006,Safety Bar Squat,safety_bar_squat,,exercise,squat,maximum_strength,trunk_force_transfer,primary,quadriceps;glutes,upper_back;hamstrings;adductors;trunk,barbell;squat_rack;plates,gym,intermediate,3,1,3,yes,sets;repetitions;load_kg;percentage_1rm;effort_rpe;rir;tempo_seconds;recovery_seconds,Pull handles gently down. Keep upper back tall. Brace hard before unlocking knees.,Pull handles gently down. Keep upper back tall. Brace hard before unlocking knees.,Letting the bar fold the torso forward. Pulling handles so hard the ribs flare. Losing knee tracking.,"Stop or modify if pain, dizziness, numbness, unexpected weakness, loss of balance, or loss of controlled technique occurs. Exercise-specific limits: The bar cannot sit securely. Neck pressure is excessive. Torso position collapses repeatedly.",,goblet_squat;box_squat;leg_press,barbell_front_squat;belt_squat,general,yes,approved,Runlete founder,"Catalogue content and bounded generator selection; not medical diagnosis, rehabilitation or specialist certification"
EXT-006,Wall March,wall_march,,speed_drill,acceleration_posture,acceleration,mobility_preparation;trunk_force_transfer,preparation,hip_flexors;glutes;calves,trunk;supporting musculature,wall,field;gym;home;track;court,beginner,2,1,1,no,sets;repetitions;distance_m;duration_seconds;intensity_percent;recovery_seconds,Lean into a wall with a straight body line. Alternate controlled march positions while keeping the stance leg long and foot active.,Push the wall away. Ribcage and pelvis stacked. Switch without losing posture.,Bending at the waist. Reaching the foot forward. Collapsing through the ankle.,"Stop for pain, dizziness, chest pain, unusual breathlessness, neurological symptoms, loss of balance, acute illness, unsafe conditions, or clear loss of controlled technique.",wall_switch;falling_start_acceleration,,falling_start_acceleration;hill_acceleration,template_required_extension,yes,approved,Runlete founder,"Catalogue content and bounded generator selection; not medical diagnosis, rehabilitation or specialist certification"
REV-007,Belt Squat,belt_squat,,exercise,squat,maximum_strength,recovery_capacity,primary,quadriceps;glutes,adductors;hamstrings;calves;trunk,machine;plates,gym,intermediate,1,1,3,no,sets;repetitions;load_kg;percentage_1rm;effort_rpe;rir;tempo_seconds;recovery_seconds,Set belt low and secure. Use handles only for balance. Descend between the hips.,Set belt low and secure. Use handles only for balance. Descend between the hips.,Pulling with the handles. Letting the belt shift. Bouncing out of the bottom.,"Stop or modify if pain, dizziness, numbness, unexpected weakness, loss of balance, or loss of controlled technique occurs. Exercise-specific limits: The belt causes hip or groin pain. Machine setup cannot fit the athlete. The athlete relies on the handles to move the load.",barbell_back_squat,leg_press;goblet_squat,safety_bar_squat,general,yes,approved,Runlete founder,"Catalogue content and bounded generator selection; not medical diagnosis, rehabilitation or specialist certification"
EXT-007,Wall Switch,wall_switch,,speed_drill,acceleration_posture,acceleration,explosive_strength;trunk_force_transfer,preparation,hip_flexors;glutes;calves,trunk;supporting musculature,wall,field;gym;home;track;court,intermediate,3,1,2,no,sets;repetitions;distance_m;duration_seconds;intensity_percent;recovery_seconds,"From a wall acceleration position, rapidly exchange the thigh positions and regain a stable posture after each switch.","Strike and hold. Keep the body line. Fast exchange, stable finish.",Cycling the legs. Hips dropping. Foot landing ahead of the body.,"Stop for pain, dizziness, chest pain, unusual breathlessness, neurological symptoms, loss of balance, acute illness, unsafe conditions, or clear loss of controlled technique.",,wall_march,falling_start_acceleration,template_required_extension,yes,approved,Runlete founder,"Catalogue content and bounded generator selection; not medical diagnosis, rehabilitation or specialist certification"
EXT-008,A-Skip,a_skip,,speed_drill,upright_sprint_preparation,maximum_velocity,mobility_preparation;reactive_elastic_strength,preparation,hip_flexors;calves;glutes,trunk;supporting musculature,bodyweight,field;track;court,intermediate,3,2,2,no,sets;repetitions;distance_m;duration_seconds;intensity_percent;recovery_seconds,Skip forward with a rhythmic thigh lift and active downward foot strike beneath the body.,Tall posture. Step over and down. Rhythm before speed.,Reaching forward. Excessive backside action. Forcing height or speed without rhythm.,"Stop for pain, dizziness, chest pain, unusual breathlessness, neurological symptoms, loss of balance, acute illness, unsafe conditions, or clear loss of controlled technique. End high-speed work when speed or mechanics clearly deteriorate; use a safe unobstructed surface and adequate recovery.",wicket_run,a_march,progressive_build_up_run,template_required_extension,yes,approved,Runlete founder,"Catalogue content and bounded generator selection; not medical diagnosis, rehabilitation or specialist certification"
REV-008,Landmine Squat,landmine_squat,,exercise,squat,maximum_strength,trunk_force_transfer,primary,quadriceps;glutes,adductors;hamstrings;trunk;upper_back,barbell;landmine;plates,gym,beginner,3,1,3,yes,sets;repetitions;load_kg;percentage_1rm;effort_rpe;rir;tempo_seconds;recovery_seconds,Hold the sleeve close to sternum. Lean slightly into the arc. Keep feet planted.,Hold the sleeve close to sternum. Lean slightly into the arc. Keep feet planted.,Letting the bar drift away. Standing too far from the anchor. Turning it into an arm exercise.,"Stop or modify if pain, dizziness, numbness, unexpected weakness, loss of balance, or loss of controlled technique occurs. Exercise-specific limits: The landmine anchor is unstable. The athlete cannot control the bar path. Heavy bilateral strength is the main goal.",barbell_front_squat,leg_press,belt_squat;goblet_squat;box_squat,general,yes,approved,Runlete founder,"Catalogue content and bounded generator selection; not medical diagnosis, rehabilitation or specialist certification"
EXT-009,Falling-Start Acceleration,falling_start_acceleration,,speed_drill,linear_acceleration,acceleration,horizontal_power;explosive_strength,primary,glutes;quadriceps;hamstrings;calves,trunk;supporting musculature,bodyweight,field;track;court,beginner,2,2,3,no,sets;repetitions;distance_m;duration_seconds;intensity_percent;recovery_seconds,"Stand tall, lean forward as one unit until balance is lost, then project into a short acceleration without a false step.",Fall as one piece. Push back. Accelerate through the line.,Bending at the hips. Stepping backward first. Standing upright immediately.,"Stop for pain, dizziness, chest pain, unusual breathlessness, neurological symptoms, loss of balance, acute illness, unsafe conditions, or clear loss of controlled technique. End high-speed work when speed or mechanics clearly deteriorate; use a safe unobstructed surface and adequate recovery.",two_point_start_acceleration,wall_march,wall_march;hill_acceleration,template_required_extension,yes,approved,Runlete founder,"Catalogue content and bounded generator selection; not medical diagnosis, rehabilitation or specialist certification"
REV-009,Leg Press,leg_press,,exercise,squat,maximum_strength,,primary,quadriceps;glutes,hamstrings;adductors;calves,machine;plates,gym,beginner,1,1,3,no,sets;repetitions;load_kg;percentage_1rm;effort_rpe;rir;tempo_seconds;recovery_seconds,Set feet evenly. Keep hips on pad. Control the lowering.,Set feet evenly. Keep hips on pad. Control the lowering.,Excessive depth causing pelvis to tuck. Knees caving in. Using partial reps unintentionally.,"Stop or modify if pain, dizziness, numbness, unexpected weakness, loss of balance, or loss of controlled technique occurs. Exercise-specific limits: Lumbar rounding occurs at depth. Knee or hip symptoms worsen. The athlete cannot control the sled.",single_leg_leg_press;barbell_back_squat,,belt_squat;goblet_squat,general,yes,approved,Runlete founder,"Catalogue content and bounded generator selection; not medical diagnosis, rehabilitation or specialist certification"
REV-010,Single-Leg Leg Press,single_leg_leg_press,,exercise,unilateral_knee_and_hip_extension,maximum_strength,mobility_preparation,accessory,quadriceps;glutes,hamstrings;adductors;calves,machine;plates,gym,intermediate,1,1,3,no,sets;repetitions;load_kg;percentage_1rm;effort_rpe;rir;tempo_seconds;recovery_seconds,Center the working foot. Keep pelvis square. Track knee over toes.,Center the working foot. Keep pelvis square. Track knee over toes.,Rotating the hips. Letting knee drift across midline. Using too much depth for hip control.,"Stop or modify if pain, dizziness, numbness, unexpected weakness, loss of balance, or loss of controlled technique occurs. Exercise-specific limits: Pelvis shifts each rep. The athlete cannot control the sled one-sided. Single-leg knee pain increases.",bulgarian_split_squat,leg_press;dumbbell_split_squat,lateral_step_up;belt_squat;step_up,general,yes,approved,Runlete founder,"Catalogue content and bounded generator selection; not medical diagnosis, rehabilitation or specialist certification"
EXT-010,Two-Point-Start Acceleration,two_point_start_acceleration,,speed_drill,linear_acceleration,acceleration,horizontal_power;explosive_strength,primary,glutes;quadriceps;hamstrings;calves,trunk;supporting musculature,bodyweight,field;track;court,intermediate,3,2,3,no,sets;repetitions;distance_m;duration_seconds;intensity_percent;recovery_seconds,Use a staggered standing stance and accelerate through the prescribed distance with strong backward force and progressive rise.,"Push, do not reach. Project forward. Rise gradually.",Rocking before the start. Overstriding. Popping upright in the first steps.,"Stop for pain, dizziness, chest pain, unusual breathlessness, neurological symptoms, loss of balance, acute illness, unsafe conditions, or clear loss of controlled technique. End high-speed work when speed or mechanics clearly deteriorate; use a safe unobstructed surface and adequate recovery.",light_sled_acceleration,,falling_start_acceleration,template_required_extension,yes,approved,Runlete founder,"Catalogue content and bounded generator selection; not medical diagnosis, rehabilitation or specialist certification"
REV-011,Bulgarian Split Squat,bulgarian_split_squat,,exercise,split_squat,maximum_strength,mobility_preparation,primary,quadriceps;glutes,adductors;hamstrings;calves;trunk,dumbbells;kettlebell;barbell;bench_or_box,gym,intermediate,3,1,3,yes,sets;repetitions;load_kg;percentage_1rm;effort_rpe;rir;tempo_seconds;recovery_seconds,"Set a stable split stance with the rear foot supported at a comfortable height. Keep most pressure through the front foot. Lower under control, then drive through the front leg while the pelvis stays level.","Set a stable split stance with the rear foot supported at a comfortable height. Keep most pressure through the front foot. Lower under control, then drive through the front leg while the pelvis stays level.",Loading the rear foot heavily. Using a support height or stance that causes pelvic rotation. Adding load before balance and front-leg control are consistent.,"Stop or modify if pain, dizziness, numbness, unexpected weakness, loss of balance, or loss of controlled technique occurs. Exercise-specific limits: Use a lower support or standard split squat if rear-foot elevation causes knee, hip, or balance symptoms. Use external support when needed and stop for sharp or worsening pain.",,,reverse_lunge;step_up;single_leg_leg_press,general,yes,approved,Runlete founder,"Catalogue content and bounded generator selection; not medical diagnosis, rehabilitation or specialist certification"
EXT-011,Three-Point-Start Acceleration,three_point_start_acceleration,,speed_drill,linear_acceleration,acceleration,horizontal_power;explosive_strength,primary,glutes;quadriceps;hamstrings;calves,trunk;supporting musculature,track_or_safe_surface,field;track,advanced,4,2,4,yes,sets;repetitions;distance_m;duration_seconds;intensity_percent;recovery_seconds,Set a stable three-point stance and accelerate through the prescribed distance while maintaining projection and progressive rise.,Stable set. Push through the ground. Patient rise.,Unstable hand position. First step reaching. Rushing upright mechanics.,"Stop for pain, dizziness, chest pain, unusual breathlessness, neurological symptoms, loss of balance, acute illness, unsafe conditions, or clear loss of controlled technique. End high-speed work when speed or mechanics clearly deteriorate; use a safe unobstructed surface and adequate recovery.",,,light_sled_acceleration,template_required_extension,yes,approved,Runlete founder,"Catalogue content and bounded generator selection; not medical diagnosis, rehabilitation or specialist certification"
REV-012,Dumbbell Split Squat,dumbbell_split_squat,,exercise,lunge,maximum_strength,trunk_force_transfer,primary,quadriceps;glutes,hamstrings;adductors;calves;trunk,dumbbells;kettlebell,field;gym;home,beginner,1,1,3,no,sets;repetitions;load_kg;percentage_1rm;effort_rpe;rir;tempo_seconds;recovery_seconds,Set a long stable stance. Drop the back knee down. Keep front foot heavy.,Set a long stable stance. Drop the back knee down. Keep front foot heavy.,Too narrow a stance. Shifting weight to the rear leg. Front heel lifting.,"Stop or modify if pain, dizziness, numbness, unexpected weakness, loss of balance, or loss of controlled technique occurs. Exercise-specific limits: Hip flexor stretch on rear leg is painful. Balance prevents useful loading. Knee path cannot be controlled.",bulgarian_split_squat;reverse_lunge,,step_up;lateral_step_up;single_leg_leg_press,general,yes,approved,Runlete founder,"Catalogue content and bounded generator selection; not medical diagnosis, rehabilitation or specialist certification"
EXT-012,Light Resisted Sled Acceleration,light_sled_acceleration,,speed_drill,resisted_linear_acceleration,acceleration,horizontal_power;explosive_strength,primary,glutes;quadriceps;hamstrings;calves,trunk;supporting musculature,sled;harness;plates,field;track,intermediate,3,2,4,yes,sets;repetitions;distance_m;duration_seconds;intensity_percent;recovery_seconds;sled_load;velocity_decrement_percent,Attach a securely loaded sled and accelerate while preserving the intended acceleration pattern and prescribed velocity loss.,Push back. Keep rhythm. Resistance must not turn the run into a grind.,Excessive load. Shuffling steps. Rounded posture. Loose harness or unsafe lane.,"Stop for pain, dizziness, chest pain, unusual breathlessness, neurological symptoms, loss of balance, acute illness, unsafe conditions, or clear loss of controlled technique. End high-speed work when speed or mechanics clearly deteriorate; use a safe unobstructed surface and adequate recovery. Reduce resistance when acceleration mechanics or velocity fall outside the prescribed range.",,two_point_start_acceleration,hill_acceleration,template_required_extension,yes,approved,Runlete founder,"Catalogue content and bounded generator selection; not medical diagnosis, rehabilitation or specialist certification"
EXT-013,Progressive Build-Up Run,progressive_build_up_run,,speed_drill,upright_sprint_transition,maximum_velocity,acceleration;mobility_preparation,preparation,hamstrings;glutes;calves,trunk;supporting musculature,bodyweight,field;track,beginner,2,2,2,no,sets;repetitions;distance_m;duration_seconds;intensity_percent;recovery_seconds,"Increase speed smoothly across the prescribed build distance, reaching the target without straining or abrupt acceleration.","Smooth rise. Tall and relaxed. Finish fast, not forced.",Starting too fast. Tensing shoulders. Sprinting beyond the safe target.,"Stop for pain, dizziness, chest pain, unusual breathlessness, neurological symptoms, loss of balance, acute illness, unsafe conditions, or clear loss of controlled technique. End high-speed work when speed or mechanics clearly deteriorate; use a safe unobstructed surface and adequate recovery.",,,a_skip;flying_sprint,template_required_extension,yes,approved,Runlete founder,"Catalogue content and bounded generator selection; not medical diagnosis, rehabilitation or specialist certification"
REV-013,Reverse Lunge,reverse_lunge,,exercise,lunge,maximum_strength,trunk_force_transfer,primary,glutes;quadriceps,hamstrings;adductors;calves;trunk,dumbbells;kettlebell;barbell,gym,beginner,3,1,3,yes,sets;repetitions;load_kg;percentage_1rm;effort_rpe;rir;tempo_seconds;recovery_seconds,Step back quietly. Keep front foot rooted. Drop straight down.,Step back quietly. Keep front foot rooted. Drop straight down.,Pushing off the back leg too much. Front knee diving inward. Narrow tightrope stance.,"Stop or modify if pain, dizziness, numbness, unexpected weakness, loss of balance, or loss of controlled technique occurs. Exercise-specific limits: Balance is unsafe. Rear-foot stepping causes hip discomfort. The athlete cannot keep front foot stable.",walking_lunge;forward_lunge,dumbbell_split_squat,step_up;bulgarian_split_squat;lateral_step_up,general,yes,approved,Runlete founder,"Catalogue content and bounded generator selection; not medical diagnosis, rehabilitation or specialist certification"
EXT-014,Flying Sprint,flying_sprint,,speed_drill,maximum_velocity_sprinting,maximum_velocity,reactive_elastic_strength;speed_endurance,primary,hamstrings;glutes;calves,trunk;supporting musculature,cones;timing_gates_optional,field;track,intermediate,4,3,4,yes,sets;repetitions;distance_m;duration_seconds;intensity_percent;recovery_seconds;build_distance_m;fly_distance_m,"Build speed progressively, then maintain relaxed upright sprinting through the short flying zone before controlled deceleration.","Build, rise, fly. Tall hips. Fast and relaxed.",Inadequate build-up. Straining through the fly zone. Abrupt stopping after the line.,"Stop for pain, dizziness, chest pain, unusual breathlessness, neurological symptoms, loss of balance, acute illness, unsafe conditions, or clear loss of controlled technique. End high-speed work when speed or mechanics clearly deteriorate; use a safe unobstructed surface and adequate recovery.",,,wicket_run,template_required_extension,yes,approved,Runlete founder,"Catalogue content and bounded generator selection; not medical diagnosis, rehabilitation or specialist certification"
REV-014,Forward Lunge,forward_lunge,,exercise,lunge,maximum_strength,mobility_preparation,primary,quadriceps;glutes,hamstrings;adductors;calves;trunk,dumbbells;barbell;kettlebell,gym,intermediate,3,1,3,yes,sets;repetitions;load_kg;percentage_1rm;effort_rpe;rir;tempo_seconds;recovery_seconds,Step far enough to control the front shin. Lower under control. Keep pelvis level.,Step far enough to control the front shin. Lower under control. Keep pelvis level.,Short step causing heel lift. Front knee collapsing inward. Pushing mostly off the back leg.,"Stop or modify if pain, dizziness, numbness, unexpected weakness, loss of balance, or loss of controlled technique occurs. Exercise-specific limits: Anterior knee pain worsens. Balance is too limiting. The athlete cannot control landing.",,reverse_lunge;dumbbell_split_squat,step_up;single_leg_leg_press;bulgarian_split_squat,general,yes,approved,Runlete founder,"Catalogue content and bounded generator selection; not medical diagnosis, rehabilitation or specialist certification"
REV-015,Lateral Lunge,lateral_lunge,,exercise,lateral_lunge,maximum_strength,local_muscular_endurance;trunk_force_transfer,accessory,quadriceps;glutes;adductors,hamstrings;calves;trunk,dumbbells;kettlebell,field;gym;home,intermediate,1,1,3,no,sets;repetitions;load_kg;percentage_1rm;effort_rpe;rir;tempo_seconds;recovery_seconds,Step wide and sit into one hip. Keep trailing leg long. Track knee with toes.,Step wide and sit into one hip. Keep trailing leg long. Track knee with toes.,Collapsing the arch. Letting the working knee cave. Rounding to reach depth.,"Stop or modify if pain, dizziness, numbness, unexpected weakness, loss of balance, or loss of controlled technique occurs. Exercise-specific limits: Groin pain appears under stretch. The athlete lacks control in the side lunge. Balance and foot position are unsafe.",copenhagen_adduction,adductor_squeeze,reverse_lunge;lateral_step_up,general,yes,approved,Runlete founder,"Catalogue content and bounded generator selection; not medical diagnosis, rehabilitation or specialist certification"
EXT-015,Supervised Wicket Run,wicket_run,,speed_drill,upright_sprint_rhythm,maximum_velocity,reactive_elastic_strength;mobility_preparation,primary,hamstrings;glutes;calves,trunk;supporting musculature,wickets_or_mini_hurdles;measuring_tape,track;field,advanced,5,3,4,yes,sets;repetitions;distance_m;duration_seconds;intensity_percent;recovery_seconds;wicket_spacing_m,"Run through individually reviewed wicket spacing after a progressive build, maintaining rhythm without reaching for barriers.",Step over and down. Stay tall. Let spacing guide rhythm.,Using generic spacing. Reaching forward. Raising barriers. Continuing after rhythm breaks.,"Stop for pain, dizziness, chest pain, unusual breathlessness, neurological symptoms, loss of balance, acute illness, unsafe conditions, or clear loss of controlled technique. End high-speed work when speed or mechanics clearly deteriorate; use a safe unobstructed surface and adequate recovery. Wicket spacing and height require qualified setup; never guess spacing from body height alone.",,a_skip,flying_sprint,template_required_extension,yes,approved,Runlete founder,"Catalogue content and bounded generator selection; not medical diagnosis, rehabilitation or specialist certification"
EXT-016,Short Speed-Endurance Run,short_speed_endurance_run,,conditioning_modality,high_speed_running,speed_endurance,anaerobic_capacity;maximum_velocity,primary,whole_body,trunk;supporting musculature,cones;timing_gates_optional,field;track,intermediate,4,3,5,yes,sets;repetitions;duration_seconds;duration_minutes;distance_m;distance_km;intensity_system;pace;heart_rate_zone;power_watts;recovery_seconds;set_recovery_seconds,Run the prescribed high-speed distance with long recovery so each repetition remains a speed-quality effort rather than generic conditioning.,Fast and composed. Preserve mechanics. Recover fully.,Short recovery. Excessive repetitions. Treating declining runs as toughness work.,"Stop for pain, dizziness, chest pain, unusual breathlessness, neurological symptoms, loss of balance, acute illness, unsafe conditions, or clear loss of controlled technique. End high-speed work when speed or mechanics clearly deteriorate; use a safe unobstructed surface and adequate recovery.",,,long_sprint_endurance_run,template_required_extension,yes,approved,Runlete founder,"Catalogue content and bounded generator selection; not medical diagnosis, rehabilitation or specialist certification"
